Trial, Ecc, RT, IT, Brightness, Stim ID
1, -15, 1022, 319, 15, 0
2, 30, 465, 609, 15, 1
3, -30, 419, 355, 15, 0
4, 30, 455, 770, 15, 1
5, 0, 475, 602, 15, 1
6, -15, 499, 711, 15, 0
7, 45, 633, 707, 15, 1
8, 15, 470, 731, 15, 0
9, 0, 0, 576, 15, 1
10, -15, 493, 742, 15, 1
11, 0, 0, 536, 15, 1
12, 45, 5670, 346, 15, 1
13, 15, 471, 382, 15, 0
14, 30, 447, 313, 15, 1
15, -30, 454, 434, 15, 0
16, 30, 412, 555, 15, 1
17, -15, 473, 587, 15, 0
18, 45, 557, 348, 15, 0
19, 45, 499, 453, 15, 0
20, -15, 559, 554, 15, 0
21, -45, 426, 455, 15, 0
22, 45, 577, 757, 15, 0
23, 30, 478, 539, 15, 1
24, -15, 0, 451, 15, 1
25, -45, 0, 690, 15, 1
26, -45, 680, 367, 15, 0
27, -45, 627, 426, 15, 0
28, -30, 612, 354, 15, 0
29, -15, 627, 675, 15, 0
30, -15, 571, 374, 15, 0
31, 0, 433, 437, 15, 1
32, 30, 504, 636, 15, 0
33, 45, 0, 735, 15, 0
34, 45, 0, 417, 15, 0
35, -30, 0, 514, 15, 1
36, 15, 0, 600, 15, 0
37, 45, 575, 764, 15, 1
38, 30, 630, 763, 15, 0
39, -15, 586, 375, 15, 0
40, 15, 639, 747, 15, 0
41, -45, 560, 781, 15, 1
42, 15, 776, 352, 15, 1
43, -15, 536, 444, 15, 1
44, -30, 490, 550, 15, 0
45, -45, 620, 380, 15, 1
46, 45, 484, 490, 15, 1
47, 45, 666, 739, 15, 0
48, 15, 610, 321, 15, 0
49, -15, 0, 402, 15, 1
50, 45, 532, 398, 15, 1
51, 45, 584, 753, 15, 1
52, 30, 475, 622, 15, 1
53, 30, 494, 669, 15, 0
54, 30, 612, 744, 15, 0
55, -30, 589, 507, 15, 1
56, -15, 626, 373, 15, 1
57, -30, 538, 357, 15, 0
58, 45, 592, 355, 15, 1
59, -45, 490, 485, 15, 1
60, -15, 623, 371, 15, 0
61, 15, 411, 530, 15, 1
62, 45, 0, 527, 15, 0
63, 15, 411, 531, 15, 1
64, 15, 1282, 314, 15, 0
65, 30, 676, 545, 15, 0
66, 15, 487, 754, 15, 0
67, -30, 558, 542, 15, 1
68, 45, 615, 391, 15, 1
69, 0, 481, 326, 15, 1
70, -15, 421, 603, 15, 1
71, 15, 456, 621, 15, 0
72, -15, 398, 682, 15, 1
73, -15, 724, 785, 15, 0
74, 0, 657, 396, 15, 0
75, 0, 454, 344, 15, 0
76, 45, 652, 522, 15, 1
77, 0, 390, 451, 15, 1
78, -15, 407, 783, 15, 0
79, 15, 483, 646, 15, 0
80, 45, 0, 360, 15, 1
81, -30, 586, 411, 15, 1
82, 0, 1734, 410, 15, 0
83, 0, 394, 540, 15, 1
84, 15, 0, 548, 15, 0
85, 45, 727, 402, 15, 0
86, -45, 831, 755, 15, 0
87, 0, 654, 732, 15, 0
88, 15, 442, 760, 15, 0
89, 0, 490, 447, 15, 1
90, 0, 0, 637, 15, 1
91, 15, 0, 630, 15, 0
92, 30, 767, 588, 15, 1
93, 45, 401, 535, 15, 0
94, 45, 436, 651, 15, 0
95, 30, 491, 705, 15, 1
96, 0, 448, 550, 15, 1
97, 15, 430, 676, 15, 0
98, -45, 5013, 538, 15, 0
99, 15, 380, 440, 15, 0
100, -30, 402, 766, 15, 1
101, -45, 0, 771, 15, 1
102, -15, 518, 614, 15, 1
103, -30, 490, 772, 15, 1
104, -15, 334, 710, 15, 0
105, 15, 391, 759, 15, 1
106, -30, 419, 651, 15, 0
107, -15, 564, 732, 15, 0
108, 15, 475, 525, 15, 0
109, -30, 483, 308, 15, 0
110, -30, 408, 434, 15, 1
111, -15, 374, 684, 15, 0
112, -15, 0, 726, 15, 1
113, -30, 535, 666, 15, 1
114, 30, 459, 764, 15, 1
115, -15, 0, 577, 15, 1
116, 0, 0, 775, 15, 0
117, 15, 529, 697, 15, 0
118, 30, 468, 413, 15, 0
119, 45, 738, 501, 15, 0
120, -30, 717, 724, 15, 1
121, -30, 15391, 356, 15, 1
122, 30, 423, 535, 15, 1
123, -15, 480, 482, 15, 1
124, 15, 369, 554, 15, 1
125, -15, 464, 736, 15, 1
126, 30, 628, 485, 15, 0
127, -30, 682, 334, 15, 0
128, -15, 0, 621, 15, 0
129, 45, 581, 513, 15, 0
130, 45, 0, 600, 15, 0
131, -30, 0, 639, 15, 0
132, 30, 718, 398, 15, 0
133, -45, 680, 591, 15, 0
134, 15, 363, 575, 15, 1
135, 30, 851, 355, 15, 0
136, -45, 519, 791, 15, 1
137, 0, 857, 438, 15, 1
138, 0, 399, 386, 15, 1
139, -15, 556, 358, 15, 1
140, -30, 417, 555, 15, 1
141, 45, 558, 461, 15, 0
142, 30, 482, 555, 15, 0
143, 30, 0, 673, 15, 0
144, 45, 445, 771, 15, 1
145, 45, 620, 404, 15, 0
146, 15, 537, 558, 15, 1
147, -30, 0, 661, 15, 0
148, -45, 345, 535, 15, 0
149, -45, 463, 578, 15, 1
150, -30, 559, 649, 15, 1
151, -30, 0, 339, 15, 0
152, 15, 438, 722, 15, 0
153, -45, 590, 438, 15, 1
154, 30, 516, 712, 15, 1
155, -30, 399, 423, 15, 0
156, -45, 642, 623, 15, 0
157, -30, 469, 382, 15, 0
158, 15, 448, 373, 15, 1
159, -15, 567, 552, 15, 1
160, -45, 0, 799, 15, 1
161, -15, 484, 466, 15, 1
162, -30, 820, 342, 15, 1
163, 45, 565, 339, 15, 1
164, -45, 518, 380, 15, 0
165, 45, 0, 380, 15, 1
166, -30, 440, 634, 15, 1
167, -15, 653, 468, 15, 0
168, -15, 0, 534, 15, 0
169, 30, 441, 392, 15, 1
170, -45, 710, 363, 15, 0
171, -30, 504, 542, 15, 0
172, 15, 384, 324, 15, 0
173, -45, 398, 689, 15, 0
174, -15, 760, 425, 15, 1
175, 0, 0, 427, 15, 0
176, 15, 503, 726, 15, 0
177, 15, 571, 554, 15, 0
178, -30, 657, 471, 15, 1
179, 15, 0, 383, 15, 1
180, 15, 664, 375, 15, 1
181, 45, 470, 372, 15, 1
182, 0, 0, 782, 15, 1
183, -30, 554, 653, 15, 0
184, 15, 530, 476, 15, 0
185, 0, 567, 478, 15, 0
186, 45, 535, 472, 15, 1
187, -45, 442, 379, 15, 0
188, 0, 405, 661, 15, 0
189, -30, 412, 485, 15, 0
190, -30, 675, 632, 15, 1
191, -30, 554, 559, 15, 0
192, 30, 602, 733, 15, 0
193, 30, 558, 719, 15, 0
194, 0, 482, 571, 15, 1
195, 15, 591, 676, 15, 1
196, 45, 469, 420, 15, 0
197, 15, 927, 551, 15, 1
198, 15, 507, 607, 15, 0
199, 15, 915, 787, 15, 0
200, 45, 589, 660, 15, 0
201, -30, 462, 553, 15, 0
202, 15, 432, 350, 15, 0
203, 15, 731, 654, 15, 0
204, -30, 754, 374, 15, 1
205, -30, 517, 618, 15, 0
206, 0, 613, 710, 15, 0
207, -30, 451, 624, 15, 1
208, 0, 596, 328, 15, 0
209, 45, 544, 753, 15, 1
210, 45, 441, 717, 15, 0
211, 15, 399, 492, 15, 0
212, 45, 411, 532, 15, 0
213, 0, 349, 685, 15, 0
214, -30, 439, 325, 15, 1
215, 30, 453, 658, 15, 1
216, -45, 425, 386, 15, 1
217, -30, 392, 766, 15, 1
218, -45, 760, 397, 15, 0
219, 30, 435, 493, 15, 1
220, 30, 405, 795, 15, 1
221, 45, 449, 346, 15, 1
222, 30, 382, 320, 15, 1
223, 0, 369, 776, 15, 0
224, -15, 526, 679, 15, 0
225, 45, 394, 617, 15, 1
226, -15, 477, 346, 15, 0
227, -30, 450, 404, 15, 0
228, 30, 401, 674, 15, 1
229, 30, 0, 752, 15, 0
230, -15, 386, 382, 15, 0
231, 30, 431, 310, 15, 0